标题,导演,主演,年份,国家,类型,简介,评分,评价人数
搏击俱乐部,大卫·芬奇 David Fincher,爱德华·诺顿 Edward Norton / 布拉...,1999,美国 德国 意大利,剧情 动作 悬疑 惊悚,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,9.0,781114
饮食男女,李安 Ang Lee,郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...,1994,中国台湾 美国,剧情 家庭,人生不能像做菜，把所有的料都准备好了才下锅。,9.2,560303
美丽心灵,朗·霍华德 Ron Howard,罗素·克劳 Russell Crowe / 艾德·哈...,2001,美国,传记 剧情,爱是一切逻辑和原由。,9.1,707077
本杰明·巴顿奇事,大卫·芬奇 David Fincher,凯特·布兰切特 Cate Blanchett / ...,2008,美国,剧情 爱情 奇幻,在时间之河里感受溺水之苦。,9.0,907586
窃听风暴,弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck  &n...,None,2006,德国,剧情 悬疑,别样人生。,9.2,518257
穿条纹睡衣的男孩,马克·赫尔曼 Mark Herman,阿萨·巴特菲尔德 Asa Butterfield ...,2008,英国 美国,剧情 战争,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,9.2,503154
情书,岩井俊二 Shunji Iwai,中山美穗 Miho Nakayama / 丰川悦司 Ets...,1995,日本,剧情 爱情,暗恋的极致。,8.9,992265
两杆大烟枪,Guy Ritchie,Jason Flemyng / Dexter Fletcher / Nick Moran,1998,英国,剧情 喜剧 犯罪,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,9.1,551887
西西里的美丽传说,朱塞佩·托纳多雷 Giuseppe Tornatore,莫妮卡·贝鲁奇 Monica ...,2000,意大利 美国,剧情 战争 情色,美丽无罪。,8.9,897996
看不见的客人,奥里奥尔·保罗 Oriol Paulo,马里奥·卡萨斯 Mario Casas / 阿...,2016,西班牙,剧情 犯罪 悬疑 惊悚,你以为你以为的就是你以为的。,8.8,1146326
拯救大兵瑞恩,史蒂文·斯皮尔伯格 Steven Spielberg,汤姆·汉克斯 Tom Hanks...,1998,美国,剧情 战争,美利坚精神输出大片No1.,9.1,595325
音乐之声,罗伯特·怀斯 Robert Wise,朱莉·安德鲁斯 Julie Andrews / 克...,1965,美国,剧情 传记 爱情 歌舞,用音乐化解仇恨，让歌声串起美好。,9.1,551093
飞越疯人院,米洛斯·福尔曼 Miloš Forman,杰克·尼科尔森 Jack Nichols...,1975,美国,剧情,自由万岁。,9.1,512152
小鞋子,马基德·马基迪 Majid Majidi,默罕默德·阿米尔·纳吉 Mohamma...,1997,伊朗,剧情 儿童 家庭,奔跑的孩子是天使。,9.2,374952
阿凡达,詹姆斯·卡梅隆 James Cameron,萨姆·沃辛顿 Sam Worthington ...,2009,美国,动作 科幻 冒险,绝对意义上的美轮美奂。,8.8,1275770
哈利·波特与死亡圣器(下),大卫·叶茨 David Yates,丹尼尔·雷德克里夫 Daniel Radcliffe...,2011,美国 英国,奇幻 冒险,10年的完美句点。,8.9,747627
沉默的羔羊,乔纳森·戴米 Jonathan Demme,朱迪·福斯特 Jodie Foster / 安...,1991,美国,剧情 犯罪 惊悚,安东尼·霍普金斯的顶级表演。,8.9,805520
海豚湾,路易·西霍尤斯 Louie Psihoyos,Richard O'Barry / 路易·西霍...,2009,美国,纪录片,海豚的微笑，是世界上最高明的伪装。,9.3,337966
致命魔术,克里斯托弗·诺兰 Christopher Nolan,休·杰克曼 Hugh Jackman...,2006,英国 美国,剧情 悬疑 惊悚,孪生蝙蝠侠大战克隆金刚狼。,8.9,788672
禁闭岛,Martin Scorsese,莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ...,2010,美国,剧情 悬疑 惊悚,昔日翩翩少年，今日大腹便便。,8.8,886358
布达佩斯大饭店,韦斯·安德森 Wes Anderson,拉尔夫·费因斯 Ralph Fiennes / ...,2014,美国 德国 英国,剧情 喜剧 冒险,小清新的故事里注入了大历史的情怀。,8.9,840844
蝴蝶效应,埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber,主...,2004,美国 加拿大,剧情 悬疑 科幻 惊悚,人的命运被自己瞬间的抉择改变。,8.8,860027
美国往事,赛尔乔·莱翁内 Sergio Leone,罗伯特·德尼罗 Robert De Niro ...,1984,美国 意大利,犯罪 剧情,往事如烟，无处祭奠。,9.2,380012
心灵捕手,格斯·范·桑特 Gus Van Sant,马特·达蒙 Matt Damon / 罗宾·...,1997,美国,剧情,人生中应该拥有这样的一段豁然开朗。,8.9,650046
低俗小说,昆汀·塔伦蒂诺 Quentin Tarantino,约翰·特拉沃尔塔 John Tra...,1994,美国,剧情 喜剧 犯罪,故事的高级讲法。,8.9,764299
春光乍泄,王家卫 Kar Wai Wong,张国荣 Leslie Cheung / 梁朝伟 Tony Leu...,1997,中国香港 日本 韩国,剧情 爱情 同性,爱情纠缠，男女一致。,9.0,577863
摩登时代,查理·卓别林 Charles Chaplin,查理·卓别林 Charles Chaplin ...,1936,美国,剧情 喜剧 爱情,大时代中的人生，小人物的悲喜。,9.3,272402
七宗罪,大卫·芬奇 David Fincher,摩根·弗里曼 Morgan Freeman / 布...,1995,美国,剧情 犯罪 悬疑 惊悚,警察抓小偷，老鼠玩死猫。,8.8,878134
喜剧之王,周星驰 Stephen Chow / 李力持 Lik-Chi Lee,周星驰 Stephen Ch...,1999,中国香港,喜剧 剧情 爱情,我是一个演员。,8.8,885504
致命ID,詹姆斯·曼高德 James Mangold,约翰·库萨克 John Cusack / 雷...,2003,美国,剧情 悬疑 惊悚,最不可能的那个人永远是最可能的。,8.8,746692
杀人回忆,奉俊昊 Joon-ho Bong,宋康昊 Kang-ho Song / 金相庆 Sang-kyun...,2003,韩国,剧情 动作 犯罪 悬疑 惊悚,关于连环杀人悬案的集体回忆。,8.9,639787
功夫,周星驰 Stephen Chow,周星驰 Stephen Chow / 元秋 Qiu Yuen / ...,2004,中国大陆 中国香港,动作 喜剧 犯罪 奇幻,警恶惩奸，维护世界和平这个任务就交给你了，好吗？,8.7,992571
超脱,托尼·凯耶 Tony Kaye,艾德里安·布洛迪 Adrien Brody / 马西...,2011,美国,剧情,穷尽一生，我们要学会的，不过是彼此拥抱。,9.0,509497
哈利·波特与阿兹卡班的囚徒,Alfonso Cuarón,丹尼尔·雷德克里夫 Daniel Radcliffe / Emma...,2004,英国 美国,奇幻 冒险,不一样的导演，不一样的哈利·波特。,8.9,636586
加勒比海盗,戈尔·维宾斯基 Gore Verbinski,约翰尼·德普 Johnny Depp / ...,2003,美国,动作 冒险 奇幻,约翰尼·德普的独角戏。,8.8,792230
红辣椒,今敏 Satoshi Kon,林原惠美 Megumi Hayashibara / 江守彻 Toru...,2006,日本,动画 悬疑 科幻 惊悚,梦的勾结。,9.1,409300
被嫌弃的松子的一生,中岛哲也 Tetsuya Nakashima,中谷美纪 Miki Nakatani / 瑛太 E...,2006,日本,剧情 歌舞,以戏谑来戏谑戏谑。,8.9,657663
狩猎,托马斯·温特伯格 Thomas Vinterberg,麦斯·米科尔森 Mads Mik...,2012,丹麦 瑞典,剧情,人言可畏。,9.1,351933
请以你的名字呼唤我,卢卡·瓜达尼诺 Luca Guadagnino,艾米·汉莫 Armie Hammer / ...,2017,意大利 法国 巴西 美国,剧情 爱情 同性,沉醉在电影的情感和视听氛围中无法自拔。,8.9,653148
7号房的礼物,李焕庆 Hwan-kyeong Lee,柳承龙 Seung-yong Ryoo / 朴信惠 Shi...,2013,韩国,剧情 喜剧 家庭,《我是山姆》的《美丽人生》。,8.9,507006
剪刀手爱德华,蒂姆·波顿 Tim Burton,约翰尼·德普 Johnny Depp / 薇诺娜·...,1990,美国,剧情 奇幻 爱情,浪漫忧郁的成人童话。,8.7,974243
断背山,李安 Ang Lee,希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake...,2005,美国 加拿大,剧情 爱情 同性 家庭,每个人心中都有一座断背山。,8.8,659677
勇敢的心,梅尔·吉布森 Mel Gibson,梅尔·吉布森 Mel Gibson / 苏菲·玛...,1995,美国,动作 传记 剧情 历史 战争,史诗大片的典范。,8.9,528896
唐伯虎点秋香,李力持 Lik-Chi Lee,周星驰 Stephen Chow / 巩俐 Li Gong / 陈...,1993,中国香港,喜剧 爱情 古装,华太师是黄霑，吴镇宇四大才子之一。,8.7,980272
入殓师,泷田洋二郎 Yôjirô Takita,本木雅弘 Masahiro Motoki / ...,2008,日本,剧情,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,8.9,610466
第六感,M·奈特·沙马兰 M. Night Shyamalan,布鲁斯·威利斯 Bruce Wi...,1999,美国,剧情 悬疑 惊悚,深入内心的恐怖，出人意料的结局。,8.9,509765
哈利·波特与密室,Chris Columbus,丹尼尔·雷德克里夫 Daniel Radcliffe / 艾玛...,2002,英国 美国,奇幻 冒险,魔法的密室之门已打开...,8.8,662704
天使爱美丽,让-皮埃尔·热内 Jean-Pierre Jeunet,奥黛丽·塔图 Audrey Tau...,2001,法国 德国,剧情 喜剧 爱情,法式小清新。 ,8.7,910501
一一,杨德昌 Edward Yang,吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai...,2000,中国台湾 日本,剧情 爱情 家庭,我们都曾经是一一。,9.1,341187
爱在黎明破晓前,理查德·林克莱特 Richard Linklater,伊桑·霍克 Ethan Hawke ...,1995,美国 奥地利 瑞士,剧情 爱情,缘分是个连绵词，最美不过一瞬。,8.8,607247
重庆森林,王家卫 Kar Wai Wong,林青霞 Brigitte Lin / 金城武 Takeshi K...,1994,中国香港,剧情 爱情,寂寞没有期限。,8.8,737200
幽灵公主,宫崎骏 Hayao Miyazaki,松田洋治 Yôji Matsuda / 石田百合...,1997,日本,动画 奇幻 冒险,人与自然的战争史诗。,8.9,483624
蝙蝠侠：黑暗骑士崛起,克里斯托弗·诺兰 Christopher Nolan,克里斯蒂安·贝尔 Christ...,2012,美国 英国,剧情 动作 科幻 犯罪 惊悚,诺兰就是保证。,8.8,662838
小森林 夏秋篇,森淳一 Junichi Mori,桥本爱 Ai Hashimoto / 三浦贵大 Takahir...,2014,日本,剧情,那些静得只能听见呼吸的日子里，你明白孤独即生活。,9.0,391848
阳光灿烂的日子,姜文 Wen Jiang,夏雨 Yu Xia / 宁静 Jing Ning / 陶虹 Hong Tao,1994,中国大陆 中国香港,剧情 爱情,一场华丽的意淫。,8.8,566394
菊次郎的夏天,北野武 Takeshi Kitano,北野武 Takeshi Kitano / 关口雄介 Yus...,1999,日本,剧情 喜剧,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,8.9,542249
超能陆战队,唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams,斯科特...,2014,美国,喜剧 动作 科幻 动画 冒险,Balalala~~~,8.7,927542
完美的世界,克林特·伊斯特伍德 Clint Eastwood,凯文·科斯特纳 Kevin Cos...,1993,美国,剧情 犯罪,坏人的好总是比好人的好来得更感人。,9.1,282527
无人知晓,是枝裕和 Hirokazu Koreeda,柳乐优弥 Yûya Yagira / 北浦爱...,2004,日本,剧情,我的平常生活就是他人的幸福。,9.1,287499
爱在日落黄昏时,理查德·林克莱特 Richard Linklater,伊桑·霍克 Ethan Hawke ...,2004,美国 法国,剧情 爱情,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,8.9,500586
消失的爱人,大卫·芬奇 David Fincher,本·阿弗莱克 Ben Affleck / 罗莎蒙...,2014,美国,剧情 犯罪 悬疑 惊悚,年度最佳date movie。,8.7,849731
借东西的小人阿莉埃蒂,米林宏昌 Hiromasa Yonebayashi,志田未来 Mirai Shida / 神木...,2010,日本,动画 奇幻 冒险,曾经的那段美好会沉淀为一辈子的记忆。,8.9,503757
小森林 冬春篇,森淳一 Junichi Mori,桥本爱 Ai Hashimoto / 三浦贵大 Takahir...,2015,日本,剧情,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,9.0,350233
甜蜜蜜,陈可辛 Peter Chan,黎明 Leon Lai / 张曼玉 Maggie Cheung / ...,1996,中国香港,剧情 爱情,相逢只要一瞬间，等待却像是一辈子。,8.9,481138
倩女幽魂,程小东 Siu-Tung Ching,张国荣 Leslie Cheung / 王祖贤 Joey W...,1987,中国香港,爱情 奇幻 武侠 古装,两张绝世的脸。 ,8.8,674217
侧耳倾听,近藤喜文 Yoshifumi Kondo,本名阳子 Youko Honna / 小林桂树 K...,1995,日本,剧情 爱情 动画,少女情怀总是诗。,8.9,423026
幸福终点站,史蒂文·斯皮尔伯格 Steven Spielberg,汤姆·汉克斯 Tom Hanks...,2004,美国,喜剧 剧情 爱情,有时候幸福需要等一等。 ,8.8,516569
时空恋旅人,理查德·柯蒂斯 Richard Curtis,多姆纳尔·格里森 Domhnall Gl...,2013,英国,喜剧 爱情 奇幻,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,8.8,593281
驯龙高手,迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders,主演:...,2010,美国,动画 奇幻 冒险,和谐的生活离不开摸头与被摸头。,8.7,696544
萤火之森,大森贵弘 Takahiro Omori,佐仓绫音 Ayane Sakura / 内山昂辉 K...,2011,日本,剧情 爱情 动画 奇幻,触不到的恋人。,8.9,483942
玛丽和马克思,亚当·艾略特 Adam Elliot,托妮·科莱特 Toni Collette / 菲利...,2009,澳大利亚 美国,剧情 喜剧 动画,你是我最好的朋友，你是我唯一的朋友 。,8.9,398321
怪兽电力公司,彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman,约...,2001,美国,儿童 喜剧 动画 奇幻 冒险,不要给它起名字，起了名字就有感情了。,8.8,608626
教父3,弗朗西斯·福特·科波拉 Francis Ford Coppola,阿尔·帕西诺 A...,1990,美国,剧情 犯罪,任何信念的力量，都无法改变命运。,9.0,335786
一个叫欧维的男人决定去死,汉内斯·赫尔姆 Hannes Holm,罗夫·拉斯加德 Rolf Lassgård...,2015,瑞典,剧情,惠及一生的美丽。,8.9,416742
大鱼,蒂姆·波顿 Tim Burton,伊万·麦克格雷格 Ewan McGregor / 阿...,2003,美国,剧情 家庭 奇幻 冒险,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,8.8,527699
玩具总动员3,李·昂克里奇 Lee Unkrich,汤姆·汉克斯 Tom Hanks / 蒂姆·艾...,2010,美国,喜剧 动画 奇幻 冒险,跨度十五年的欢乐与泪水。,8.9,467878
寄生虫,奉俊昊 Joon-ho Bong,宋康昊 Kang-ho Song / 李善均 Seon-gyun...,2019,韩国,剧情,,8.8,1260098
傲慢与偏见,乔·怀特 Joe Wright,凯拉·奈特莉 Keira Knightley / 马修·...,2005,法国 英国 美国,剧情 爱情,爱是摈弃傲慢与偏见之后的曙光。,8.7,724893
告白,中岛哲也 Tetsuya Nakashima,松隆子 Takako Matsu / 冈田将生 ...,2010,日本,剧情 悬疑,没有一人完全善，也没有一人完全恶。,8.8,628934
神偷奶爸,皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud,...,2010,美国 法国,喜剧 动画 冒险,Mr. I Don't Care其实也有Care的时候。,8.6,876635
釜山行,延尚昊 Sang-ho Yeon,孔侑 Yoo Gong / 郑有美 Yu-mi Jung / 马...,2016,韩国,动作 惊悚 灾难,揭露人性的丧尸题材力作。,8.6,1095181
未麻的部屋,今敏 Satoshi Kon,岩男润子 Junko Iwao / 松本梨香 Rica Matsu...,1997,日本,动画 奇幻 惊悚,好的剧本是，就算你猜到了结局也猜不到全部。,9.0,288388
阳光姐妹淘,姜炯哲 Hyeong-Cheol Kang,沈恩京 Eun-kyung Shim / 闵孝琳 Hy...,2011,韩国,剧情 喜剧,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,8.8,558513
射雕英雄传之东成西就,刘镇伟 Jeffrey Lau,梁朝伟 Tony Leung Chiu Wai / 林青霞 Bri...,1993,中国香港,喜剧 奇幻 武侠 古装,百看不厌。 ,8.7,585477
被解救的姜戈,昆汀·塔伦蒂诺 Quentin Tarantino,杰米·福克斯 Jamie Foxx ,2012,美国,剧情 动作 西部 冒险,热血沸腾，那个低俗、性感的无耻混蛋又来了。,8.8,557819
恐怖直播,金秉祐 Byeong-woo Kim,河正宇 Jung-woo Ha / 李璟荣 Kyeong-y...,2013,韩国,剧情 犯罪 悬疑,恐怖分子的“秋菊打官司”。,8.7,599188
哪吒闹海,王树忱 Shuchen Wang / 严定宪 Dingxian Yan,梁正晖 Zhenghui ...,1979,中国大陆,冒险 动画 奇幻,想你时你在闹海。,9.1,234675
我是山姆,杰茜·尼尔森 Jessie Nelson,Sean Penn / Dakota Fanning / Mi...,2001,美国,剧情 家庭,爱并不需要智商 。,9.0,307654
哈利·波特与火焰杯,迈克·内威尔 Mike Newell,丹尼尔·雷德克里夫 Daniel Radclif...,2005,英国 美国,悬疑 奇幻 冒险,,8.7,577071
血战钢锯岭,梅尔·吉布森 Mel Gibson,安德鲁·加菲尔德 Andrew Garfield ,2016,澳大利亚 美国,剧情 传记 历史 战争,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,8.7,728976
头号玩家,史蒂文·斯皮尔伯格 Steven Spielberg,泰伊·谢里丹 Tye Sheri...,2018,美国,动作 科幻 冒险,写给影迷，动漫迷和游戏迷的一封情书。,8.7,1259493
新世界,朴勋政 Hoon-jung Park,李政宰 Jung-Jae Lee / 崔岷植 Min-sik...,2013,韩国,剧情 犯罪,要做就做得狠一点，这样才能活下去。,8.9,364717
模仿游戏,莫滕·泰杜姆 Morten Tyldum,本尼迪克特·康伯巴奇 Benedict C...,2014,英国 美国,剧情 传记 战争 同性,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,8.7,587352
喜宴,李安 Ang Lee,赵文瑄 Winston Chao / 郎雄 Sihung Lung / 归亚...,1993,中国台湾 美国,剧情 喜剧 爱情 同性 家庭,中国家庭的喜怒哀乐忍。,9.0,321686
七武士,黑泽明 Akira Kurosawa,三船敏郎 Toshirô Mifune / 志村乔 ...,1954,日本,动作 冒险 剧情,时代悲歌。,9.3,178902
花样年华,王家卫 Kar Wai Wong,梁朝伟 Tony Leung Chiu Wai / 张曼玉 Ma...,2000,中国香港,剧情 爱情,偷情本没有这样美。,8.7,543606
黑客帝国3：矩阵革命,拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski,...,2003,美国,动作 科幻,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,8.8,413281
头脑特工队,彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen  &nb...,None,2015,美国,喜剧 动画 冒险,愿我们都不用长大，每一座城堡都能永远存在。,8.8,554259
电锯惊魂,詹姆斯·温 James Wan,雷·沃纳尔 Leigh Whannell / 加利·艾...,2004,美国,悬疑 惊悚 恐怖,真相就在眼前。,8.7,483760
三块广告牌,马丁·麦克唐纳 Martin McDonagh,弗兰西斯·麦克多蒙德 France...,2017,美国 英国,剧情 犯罪,怼天怼地，你走后，她与世界为敌。,8.7,761036
你的名字。,新海诚 Makoto Shinkai,神木隆之介 Ryûnosuke Kamiki / 上...,2016,日本,剧情 爱情 动画,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,8.5,1272993
卢旺达饭店,特瑞·乔治 Terry George,唐·钱德尔 Don Cheadle / 苏菲·奥...,2004,英国 南非 意大利 美国,剧情 传记 历史 战争,当这个世界闭上双眼，他却敞开了怀抱。,8.9,299505
达拉斯买家俱乐部,让-马克·瓦雷 Jean-Marc Vallée,马修·麦康纳 Matthew McCon...,2013,美国,剧情 传记 同性,Jared Leto的腿比女人还美！,8.8,418256
疯狂原始人,科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders,主演...,2013,美国,喜剧 动画 冒险,老少皆宜，这就是好莱坞动画的魅力。,8.7,779071
上帝之城,费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund  &nbsp...,None,2002,巴西 法国,犯罪 剧情,被上帝抛弃了的上帝之城。,9.0,280385
谍影重重3,保罗·格林格拉斯 Paul Greengrass,马特·达蒙 Matt Damon / ...,2007,美国 德国,动作 悬疑 惊悚,像吃了苏打饼一样干脆的电影。,8.8,387683
九品芝麻官,王晶 Jing Wong,周星驰 Stephen Chow / 吴孟达 Man Tat Ng / ...,1994,中国香港 中国大陆,剧情 喜剧 古装,,8.7,596596
英雄本色,吴宇森 John Woo,周润发 Yun-Fat Chow / 狄龙 Lung Ti / 张国...,1986,中国香港,剧情 动作 犯罪,英雄泪短，兄弟情长。 ,8.6,486987
风之谷,宫崎骏 Hayao Miyazaki,岛本须美 Sumi Shimamoto / 松田洋治 Y...,1984,日本,动画 奇幻 冒险,动画片的圣经。,8.9,332064
惊魂记,阿尔弗雷德·希区柯克 Alfred Hitchcock,安东尼·博金斯 Antho...,1960,美国,悬疑 惊悚 恐怖,故事的反转与反转，分裂电影的始祖。,9.0,253842
心迷宫,忻钰坤 Yukun Xin,霍卫民 Weimin Huo / 王笑天 Xiaotian Wang ...,2014,中国大陆,剧情 犯罪 悬疑,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,8.7,470071
纵横四海,吴宇森 John Woo,周润发 Yun-Fat Chow / 张国荣 Leslie Cheung...,1991,中国香港,剧情 喜剧 动作 犯罪,香港浪漫主义警匪动作片的巅峰之作。,8.8,384170
海街日记,是枝裕和 Hirokazu Koreeda,绫濑遥 Haruka Ayase / 长泽雅美 M...,2015,日本,剧情 家庭,是枝裕和的家庭习作。,8.8,404669
岁月神偷,罗启锐 Alex Law,吴君如 Sandra Ng / 任达华 Simon Yam / 钟绍...,2010,中国香港 中国大陆,剧情 家庭,岁月流逝，来日可追。,8.7,542239
记忆碎片,克里斯托弗·诺兰 Christopher Nolan,盖·皮尔斯 Guy Pearce ,2000,美国,犯罪 剧情 悬疑 惊悚,一个针管引发的血案。,8.7,559054
忠犬八公物语,Seijirô Kôyama,山本圭 Kei Yamamoto / 井川比佐志 Hisa...,1987,日本,剧情,养狗三日，便会对你终其一生。,9.2,176953
