标题,导演,主演,年份,国家,类型,简介,评分,评价人数
小丑,托德·菲利普斯 Todd Phillips,杰昆·菲尼克斯 Joaquin Phoeni...,2019,美国 加拿大,剧情 犯罪 惊悚,,8.7,923164
东京教父,今敏 Satoshi Kon,江守彻 Toru Emori / 梅垣义明 Yoshiaki Ume...,2003,日本,剧情 喜剧 动画,,9.0,190691
海边的曼彻斯特,肯尼斯·罗纳根 Kenneth Lonergan,卡西·阿弗莱克 Casey Affle...,2016,美国,剧情 家庭,我们都有权利不与自己的过去和解。,8.6,463760
罗生门,黑泽明 Akira Kurosawa,三船敏郎 Toshirô Mifune / 京町子 ...,1950,日本,剧情 犯罪 悬疑,人生的N种可能性。,8.8,286614
终结者2：审判日,詹姆斯·卡梅隆 James Cameron,阿诺·施瓦辛格 Arnold Schwarz...,1991,美国 法国,动作 科幻,少见的超越首部的续集，动作片中的经典。,8.8,314604
青蛇,徐克 Hark Tsui,张曼玉 Maggie Cheung / 王祖贤 Joey Wang / ...,1993,中国香港 中国大陆,剧情 爱情 奇幻 古装,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,8.6,479331
波西米亚狂想曲,布莱恩·辛格 Bryan Singer,拉米·马雷克 Rami Malek / 本·哈...,2018,英国 美国,剧情 传记 同性 音乐,,8.6,548354
奇迹男孩,斯蒂芬·卓博斯基 Stephen Chbosky,雅各布·特伦布莱 Jacob Tr...,2017,美国 中国香港,剧情 儿童 家庭,世界不完美，爱会有奇迹。,8.6,516520
二十二,郭柯 Ke Guo,主演:,2015,中国大陆,纪录片,有一些东西不应该被遗忘。,8.7,274741
疯狂的麦克斯4：狂暴之路,乔治·米勒 George Miller,汤姆·哈迪 Tom Hardy / 查理兹·塞...,2015,澳大利亚 美国,动作 科幻 冒险,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~,8.6,482990
新龙门客栈,李惠民 Raymond Lee,张曼玉 Maggie Cheung / 林青霞 Brigitte ...,1992,中国香港 中国大陆,动作 爱情 武侠 古装,嬉笑怒骂，调风动月。,8.7,405390
房间,伦尼·阿伯拉罕森 Lenny Abrahamson,布丽·拉尔森 Brie Larson...,2015,爱尔兰 加拿大 英国 美国,剧情 家庭,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,8.8,348147
无耻混蛋,Quentin Tarantino,布拉德·皮特 Brad Pitt / 梅拉尼·罗兰 M...,2009,德国 美国,剧情 犯罪,昆汀同学越来越变态了，比北野武还杜琪峰。,8.6,435180
血钻,爱德华·兹威克 Edward Zwick,莱昂纳多·迪卡普里奥 Leonardo ...,2006,美国 德国 英国,剧情 惊悚 冒险,每个美丽事物背后都是滴血的现实。,8.7,346797
千钧一发,安德鲁·尼科尔 Andrew Niccol,伊桑·霍克 Ethan Hawke / 乌玛...,1997,美国,剧情 科幻 惊悚,一部能引人思考的科幻励志片。,8.8,262052
魂断蓝桥,茂文·勒鲁瓦 Mervyn LeRoy,费雯·丽 Vivien Leigh / 罗伯特·...,1940,美国,剧情 爱情 战争,中国式内在的美国电影。,8.8,255110
心灵奇旅,彼特·道格特 Pete Docter / 凯普·鲍尔斯 Kemp Powers,杰米·...,2020,美国,动画 奇幻 音乐,,8.7,870217
步履不停,是枝裕和 Hirokazu Koreeda,阿部宽 Hiroshi Abe / 夏川结衣 Yu...,2008,日本,剧情 家庭,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,8.8,254104
黑客帝国2：重装上阵,拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski,...,2003,美国,动作 科幻,一个精彩的世界观正在缓缓建立。,8.7,374215
彗星来的那一夜,詹姆斯·沃德·布柯特 James Ward Byrkit,艾米丽·芭尔多尼 Em...,2013,美国 英国,科幻 悬疑 惊悚,小成本大魅力。,8.5,511980
崖上的波妞,宫崎骏 Hayao Miyazaki,奈良柚莉爱 Yuria Nara / 土井洋辉 Hir...,2008,日本,动画 奇幻 冒险,,8.6,439113
战争之王,安德鲁·尼科尔 Andrew Niccol,尼古拉斯·凯奇 Nicolas Cage ,2005,法国 德国 美国,剧情 犯罪,做一颗让别人需要你的棋子。,8.7,334149
爱乐之城,达米恩·查泽雷 Damien Chazelle,瑞恩·高斯林 Ryan Gosling ,2016,美国,剧情 爱情 歌舞,,8.4,799691
谍影重重2,保罗·格林格拉斯 Paul Greengrass,马特·达蒙 Matt Damon / ...,2004,美国 德国,动作 悬疑 惊悚,谁说王家卫镜头很晃？,8.7,325208
燃情岁月,爱德华·兹威克 Edward Zwick,布拉德·皮特 Brad Pitt / 安东...,1994,美国,剧情 爱情 战争 西部,传奇，不是每个人都可以拥有。,8.8,266268
阿飞正传,王家卫 Kar Wai Wong,张国荣 Leslie Cheung / 张曼玉 Maggie C...,1990,中国香港,犯罪 剧情 爱情,王家卫是一种风格，张国荣是一个代表。,8.5,464484
末路狂花,雷德利·斯科特 Ridley Scott,吉娜·戴维斯 Geena Davis / 苏...,1991,美国 英国 法国,犯罪 剧情 惊悚,没有了退路，只好飞向自由。,8.9,215139
海洋,雅克·贝汉 Jacques Perrin / 雅克·克鲁奥德 Jacques Cluzaud,主演:...,2009,法国 瑞士 西班牙 美国 阿联酋 摩纳哥,纪录片,大海啊，不全是水。,9.1,149841
再次出发之纽约遇见你,约翰·卡尼 John Carney,凯拉·奈特莉 Keira Knightley / 马克...,2013,美国,喜剧 爱情 音乐,爱我就给我看你的播放列表。,8.6,395857
谍影重重,道格·里曼 Doug Liman,马特·达蒙 Matt Damon / 弗兰卡·波坦...,2002,美国 德国 捷克,动作 悬疑 惊悚,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,8.6,391047
火星救援,雷德利·斯科特 Ridley Scott,马特·达蒙 Matt Damon / 杰西卡...,2015,英国 美国 匈牙利 约旦,剧情 科幻 冒险,,8.5,654524
穿越时空的少女,细田守 Mamoru Hosoda,仲里依纱 Riisa Naka / 石田卓也 Takuya...,2006,日本,剧情 爱情 科幻 动画,爱上未来的你。 ,8.6,355605
朗读者,史蒂芬·戴德利 Stephen Daldry,凯特·温丝莱特 Kate Winslet ...,2008,美国 德国,剧情 爱情,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,8.6,428540
香水,汤姆·提克威 Tom Tykwer,本·卫肖 Ben Whishaw / 艾伦·瑞克...,2006,德国 法国 西班牙 美国 比利时,剧情 犯罪 奇幻,一个单凭体香达到高潮的男人。,8.5,509379
地球上的星星,阿米尔·汗 Aamir Khan,达席尔·萨法瑞 Darsheel Safary / 阿...,2007,印度,剧情 儿童 家庭,天使保护事件始末。,8.9,189918
千年女优,今敏 Satoshi Kon,庄司美代子 Miyoko Shôji / 小山茉美 Mam...,2001,日本,动画 剧情 爱情,爱情是一场没有尽头的虚幻追逐。,8.8,230275
我爱你,秋昌民 Chang-min Choo,宋在河 Jae-ho Song / 李顺载 Soon-jae...,2011,韩国,剧情 爱情,你要相信，这世上真的有爱存在，不管在什么年纪 ,9.0,152486
完美陌生人,保罗·格诺维瑟 Paolo Genovese,马可·贾利尼 Marco Giallini ...,2016,意大利,剧情 喜剧,来啊，互相伤害啊！,8.5,491426
驴得水,周申 Shen Zhou / 刘露 Lu Liu,任素汐 Suxi Ren / 大力 Da Li ...,2016,中国大陆,剧情 喜剧,过去的如果就让它过去了，未来只会越来越糟！,8.3,854216
聚焦,托马斯·麦卡锡 Thomas McCarthy,马克·鲁弗洛 Mark Ruffalo ,2015,美国,剧情 传记,新闻人的理性求真。,8.8,254984
浪潮,丹尼斯·甘塞尔 Dennis Gansel,尤尔根·沃格尔 Jürgen Vogel ...,2008,德国,剧情 惊悚,世界离独裁只有五天。,8.7,256389
